"village","island","total_interviews","interviews_with_errors","interviews_clean","completed","interviewer_assigned","supervisor_assigned","approved_by_hq","rejected_by_supervisor","total_households","total_population","total_males","total_females","male_percentage","female_percentage","gender_ratio","average_hh_size","error_rate","completion_rate","unique_interviewers","unique_eas"
"1503 - Aoniman","15 - Beru",52,0,52,0,0,0,0,0,52,130,62,68,47.7,52.3,0.91,3.94,0,0,1,1
"1504 - Rongorongo","15 - Beru",31,0,31,0,0,0,0,2,31,301,175,126,58.1,41.9,1.39,12.58,0,0,1,1
"1505 - Nuka","15 - Beru",155,0,155,3,0,0,0,1,155,432,216,216,50,50,1,3.82,0,1.9,3,3
"1506 - Teteirio","15 - Beru",30,0,30,0,0,0,0,0,30,87,41,46,47.1,52.9,0.89,3.95,0,0,1,1
"1507 - Taubukinberu","15 - Beru",34,0,34,0,0,0,0,0,34,113,59,54,52.2,47.8,1.09,4.04,0,0,1,1
"1508 - Eriko","15 - Beru",80,0,80,0,0,0,0,1,80,228,119,109,52.2,47.8,1.09,3.86,0,0,2,2
"1509 - Taboiaki","15 - Beru",121,0,121,0,0,0,0,3,121,362,185,177,51.1,48.9,1.05,3.93,0,0,2,2
"1601 - Muribenua","16 - Nikunau",78,0,78,0,0,0,0,0,78,219,110,109,50.2,49.8,1.01,3.37,0,0,2,2
"1602 - Tabutoa","16 - Nikunau",63,0,63,8,0,0,0,0,63,217,124,93,57.1,42.9,1.33,3.56,0,12.7,1,1
"1603 - Rungata","16 - Nikunau",276,2,274,0,0,0,0,15,276,1054,549,505,52.1,47.9,1.09,4.2,0.7,0,5,5
"1604 - Manriki","16 - Nikunau",59,0,59,2,0,0,0,0,59,214,117,97,54.7,45.3,1.21,3.82,0,3.4,1,1
"1605 - Nikumanu","16 - Nikunau",91,0,91,0,0,0,0,4,91,336,176,160,52.4,47.6,1.1,3.95,0,0,2,2
"1606 - Tabomatang","16 - Nikunau",33,0,33,0,0,0,0,4,33,82,46,36,56.1,43.9,1.28,3.57,0,0,1,1
"1701 - Tekawa","17 - Onotoa",47,0,47,0,0,0,0,0,47,140,71,69,50.7,49.3,1.03,4.12,0,0,1,1
"1702 - Tanaeang","17 - Onotoa",58,0,58,0,0,0,1,0,58,188,95,93,50.5,49.5,1.02,4.37,0,0,2,1
"1703 - Buariki","17 - Onotoa",73,0,73,0,0,0,0,0,73,254,132,122,52,48,1.08,4.46,0,0,1,1
"1704 - Temao","17 - Onotoa",69,0,69,0,0,0,0,0,69,237,140,97,59.1,40.9,1.44,4.47,0,0,1,1
"1705 - Otowae","17 - Onotoa",63,0,63,0,0,0,0,1,63,224,119,105,53.1,46.9,1.13,4.31,0,0,1,1
"1706 - Aiaki","17 - Onotoa",95,0,95,0,0,0,0,7,95,228,119,109,52.2,47.8,1.09,4.22,0,0,2,2
"1707 - Tabuarorae","17 - Onotoa",75,0,75,0,0,0,0,6,75,238,112,126,47.1,52.9,0.89,4.41,0,0,2,2
"1801 - Bakarawa","18 - Tamana",83,3,80,0,0,0,1,0,83,285,141,144,49.5,50.5,0.98,4.45,3.6,0,2,2
"1802 - Bakaka","18 - Tamana",107,2,105,0,0,0,0,1,107,405,211,194,52.1,47.9,1.09,4.4,1.9,0,2,2
"1803 - Barebuka","18 - Tamana",79,1,78,0,0,0,1,5,79,254,128,126,50.4,49.6,1.02,3.68,1.3,0,2,2
"1901 - Tamaroa","19 - Arorae",118,0,118,0,0,0,0,3,118,425,207,218,48.7,51.3,0.95,4.89,0,0,2,2
"1902 - Roreti","19 - Arorae",158,0,158,7,0,0,0,13,158,569,291,278,51.1,48.9,1.05,4.66,0,4.4,3,3
"201 - Makin","2 - Makin",433,2,431,40,0,0,0,29,433,1365,694,671,50.8,49.2,1.03,4.42,0.5,9.2,7,7
"202 - Kiebu","2 - Makin",92,0,92,4,0,0,0,2,92,355,191,164,53.8,46.2,1.16,5,0,4.3,3,2
"2001 - Abaiang","20 - Teeraina",52,0,52,0,0,0,0,0,52,227,119,108,52.4,47.6,1.1,5.04,0,0,1,1
"2002 - Kauamwemwe","20 - Teeraina",41,2,39,0,0,0,2,0,41,187,100,87,53.5,46.5,1.15,5.19,4.9,0,1,1
"2003 - Uteute","20 - Teeraina",25,0,25,0,0,0,0,0,25,71,38,33,53.5,46.5,1.15,3.55,0,0,1,1
"2004 - kaaitara","20 - Teeraina",25,0,25,0,0,0,0,0,25,96,50,46,52.1,47.9,1.09,4.36,0,0,1,1
"2005 - Tangkore","20 - Teeraina",121,1,120,0,0,0,0,4,121,481,241,240,50.1,49.9,1,4.67,0.8,0,2,2
"2006 - Matanibike","20 - Teeraina",25,0,25,1,0,0,0,0,25,97,52,45,53.6,46.4,1.16,5.11,0,4,1,1
"2007 - Arabata","20 - Teeraina",37,0,37,0,0,0,0,0,37,92,52,40,56.5,43.5,1.3,3.83,0,0,1,1
"2008 - Mwakeitari","20 - Teeraina",34,0,34,0,0,0,1,0,34,213,117,96,54.9,45.1,1.22,6.66,0,0,1,1
"2009 - Onauea","20 - Teeraina",28,0,28,0,0,0,0,0,28,90,46,44,51.1,48.9,1.05,4.74,0,0,1,1
"2102 - Tereitaki","21 - Tabuaeran",125,0,125,0,0,0,0,10,125,258,143,115,55.4,44.6,1.24,4.16,0,0,2,2
"2103 - Betania","21 - Tabuaeran",66,0,66,0,0,0,0,12,66,196,108,88,55.1,44.9,1.23,4.26,0,0,1,1
"2104 - Paelau","21 - Tabuaeran",39,0,39,1,0,0,0,0,39,137,71,66,51.8,48.2,1.08,4.57,0,2.6,1,1
"2105 - Aontenaa","21 - Tabuaeran",46,0,46,7,0,0,0,0,46,169,81,88,47.9,52.1,0.92,4.45,0,15.2,1,1
"2106 - Tenenebo","21 - Tabuaeran",122,0,122,6,0,0,0,1,122,413,212,201,51.3,48.7,1.05,4.54,0,4.9,2,2
"2107 - Tereitannano","21 - Tabuaeran",52,1,51,0,0,0,0,3,52,186,105,81,56.5,43.5,1.3,4.77,1.9,0,1,1
"2108 - Aramari","21 - Tabuaeran",73,1,72,0,0,0,0,1,73,267,135,132,50.6,49.4,1.02,4.85,1.4,0,2,2
"2109 - Mwanuku","21 - Tabuaeran",65,0,65,0,0,0,0,1,65,223,117,106,52.5,47.5,1.1,4.96,0,0,1,1
"2201 - London","22 - Kiritimati",251,11,240,88,0,0,0,38,251,1341,706,635,52.6,47.4,1.11,5.81,4.4,35.1,16,9
"2202 - Tabwakea","22 - Kiritimati",648,13,635,133,0,0,1,62,648,2965,1503,1462,50.7,49.3,1.03,5.35,2,20.5,24,19
"2203 - Banana","22 - Kiritimati",299,8,291,92,0,0,1,18,299,1489,749,740,50.3,49.7,1.01,5.89,2.7,30.8,12,7
"2204 - Poland","22 - Kiritimati",89,0,89,0,0,0,0,0,89,464,262,202,56.5,43.5,1.3,5.21,0,0,2,3
NA,"22 - Kiritimati",1,0,1,0,0,0,0,0,1,2,1,1,50,50,1,2,0,0,1,0
"301 - Kuma","3 - Butaritari",76,0,76,0,0,0,0,0,76,312,155,157,49.7,50.3,0.99,4.52,0,0,2,2
"302 - Keuea","3 - Butaritari",50,0,50,0,0,0,0,0,50,233,118,115,50.6,49.4,1.03,5.3,0,0,1,1
"303 - Tanimainiku","3 - Butaritari",45,0,45,6,0,0,0,0,45,186,94,92,50.5,49.5,1.02,4.54,0,13.3,1,1
"304 - Tanimaiaki","3 - Butaritari",109,0,109,33,0,0,0,0,109,622,320,302,51.4,48.6,1.06,6.41,0,30.3,2,2
"305 - Tabonuea","3 - Butaritari",64,0,64,3,0,0,0,0,64,312,144,168,46.2,53.8,0.86,5.11,0,4.7,2,2
"306 - Antekana","3 - Butaritari",53,0,53,0,0,0,0,5,53,185,93,92,50.3,49.7,1.01,4.02,0,0,1,1
"307 - Taubukinmeang","3 - Butaritari",73,1,72,2,0,0,0,0,73,234,120,114,51.3,48.7,1.05,4.59,1.4,2.7,2,2
"308 - Temanokunuea","3 - Butaritari",87,3,84,0,0,0,0,2,87,389,187,202,48.1,51.9,0.93,5.12,3.4,0,2,2
"309 - Onomaru","3 - Butaritari",65,0,65,1,0,0,0,4,65,245,125,120,51,49,1.04,4.15,0,1.5,2,2
"310 - Ukiangang","3 - Butaritari",175,0,175,9,0,0,0,26,175,687,343,344,49.9,50.1,1,4.77,0,5.1,4,4
"311 - Bikaati","3 - Butaritari",47,0,47,0,0,0,0,1,47,182,104,78,57.1,42.9,1.33,4.14,0,0,1,1
"401 - Rawannawi","4 - Marakei",261,0,261,0,0,0,0,1,261,854,421,433,49.3,50.7,0.97,3.97,0,0,5,5
"402 - Temotu","4 - Marakei",48,0,48,0,0,0,0,0,48,155,86,69,55.5,44.5,1.25,3.69,0,0,1,1
"403 - Buota","4 - Marakei",66,0,66,0,0,0,0,0,66,259,135,124,52.1,47.9,1.09,4.18,0,0,2,2
"404 - Tekarakan","4 - Marakei",94,0,94,0,0,0,0,0,94,378,203,175,53.7,46.3,1.16,5.25,0,0,3,3
"405 - Bainuna","4 - Marakei",86,0,86,0,0,0,0,0,86,351,180,171,51.3,48.7,1.05,4.68,0,0,2,2
"406 - Norauea","4 - Marakei",93,0,93,0,0,0,0,0,93,388,192,196,49.5,50.5,0.98,4.91,0,0,2,2
"407 - Tekuanga","4 - Marakei",53,0,53,0,0,0,0,0,53,195,101,94,51.8,48.2,1.07,4.06,0,0,1,1
"408 - Antai","4 - Marakei",32,0,32,0,0,0,0,0,32,121,62,59,51.2,48.8,1.05,4.17,0,0,1,1
"501 - Nuotaea","5 - Abaiang",78,0,78,0,0,0,0,5,78,294,150,144,51,49,1.04,4.26,0,0,3,3
"502 - Ribono","5 - Abaiang",90,1,89,0,0,0,1,0,90,341,181,160,53.1,46.9,1.13,4.37,1.1,0,2,2
"503 - Takarano","5 - Abaiang",91,0,91,5,0,0,1,12,91,415,208,207,50.1,49.9,1,4.72,0,5.5,2,2
"504 - Ubanteman","5 - Abaiang",33,0,33,6,0,0,0,1,33,160,82,78,51.2,48.8,1.05,5.71,0,18.2,1,1
"505 - Tebunginako","5 - Abaiang",114,1,113,22,0,0,0,14,114,462,225,237,48.7,51.3,0.95,4.67,0.9,19.3,3,2
"506 - Borotiam","5 - Abaiang",85,0,85,4,0,0,1,12,85,388,193,195,49.7,50.3,0.99,4.67,0,4.7,3,2
"507 - Aonobuaka","5 - Abaiang",125,5,120,7,0,0,0,50,125,506,264,242,52.2,47.8,1.09,4.91,4,5.6,2,2
